Time Interval,Left Hand X,Left Hand Y,Left Hand Z,Right Hand X,Right Hand Y,Right Hand Z,Left Wrist X,Left Wrist Y,Left Wrist Z,Right Wrist X,Right Wrist Y,Right Wrist Z,Left Elbow X,Left Elbow Y,Left Elbow Z,Right Elbow X,Right Elbow Y,Right Elbow Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Center Shoulder X,Center Shoulder Y,Center Shoulder Z,Head X,Head Y,Head Z
332541443,-0.09,-0.46,1.38,0.31,-0.47,1.37,-0.11,-0.40,1.40,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.48,-0.07,0.01,1.49,0.31,0.01,1.50,0.12,0.15,1.52,0.13,0.35,1.51,
332541475,-0.09,-0.46,1.37,0.31,-0.47,1.37,-0.11,-0.40,1.40,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.07,0.01,1.49,0.31,0.01,1.50,0.12,0.15,1.52,0.13,0.35,1.51,
332541507,-0.09,-0.46,1.37,0.31,-0.47,1.37,-0.11,-0.40,1.40,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.07,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.51,
332541543,-0.07,-0.47,1.34,0.31,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.07,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541575,-0.09,-0.46,1.37,0.31,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541607,-0.08,-0.46,1.35,0.31,-0.47,1.37,-0.10,-0.40,1.38,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541643,-0.08,-0.46,1.35,0.31,-0.47,1.37,-0.10,-0.40,1.38,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541675,-0.09,-0.46,1.37,0.31,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541707,-0.07,-0.47,1.34,0.31,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541743,-0.09,-0.46,1.37,0.31,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541775,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541807,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541843,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.50,0.12,0.14,1.51,0.13,0.35,1.50,
332541875,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.35,1.50,
332541907,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.35,1.50,
332541943,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.49,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.35,1.50,
332541975,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542043,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542075,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
332542111,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.51,0.13,0.34,1.50,
